,class,tweet
2729,offensive language,cok3coke now mfa dont wanna spend a dime wit em prolly out here yelling money over bitches
2730,offensive language,cr4zyf0ru i just really miss you and i know we can drink it off and talk about all of our problems like basic bitches
2731,offensive language,cryaboutitnigga waddup doe lil nicca
2732,offensive language,csnchicago punk ass bitch bullstalk
2733,offensive language,csvndy i wanna be that white nigga chillin in my mini cooper just throwin money at bitches
2734,offensive language,csalazar_04 press sta bitch 128529
2735,offensive language,c_janacek07 nick_504_ a fucking verse from don trip bitch stop assuming shit
2736,offensive language,cabhotties who ever said this is so dumb my moms a cop amp ill have her track you down for being a lil bitch kay bye
2737,offensive language,caelang15 that nigga was eating that hoe lol
2738,offensive language,caliqueeen14 you da realest bitch out here amber
2739,offensive language,callme__jetson hoe ass nigga 128529
2740,offensive language,callmebuffy sockin bitches in they mouf
2741,offensive language,callmedaishaa ghetto ass pocahontas 
2742,offensive language,callmerenee_ 128514128514128514128553999665039 my bad bitch im logged in on everybody shit
2743,offensive language,callmerenee_ lilmenifee__ wussup bitch
2744,offensive language,callmerenee_ bitch im too mad im finna throw this bitch outside
2745,offensive language,callmerenee_ bitch u 1
2746,offensive language,callmerenee_ bitch u bs how fck yah 999665039128553128514128514128080128079128526128129
2747,offensive language,callmerenee_ dam bitch
2748,offensive language,callmerenee_ wussup bitch
2749,offensive language,callneeshcakey 128514 das new bae  my bitch bad or naw lmao
2750,offensive language,callneeshcakey 128514128514 bitches aint shit
2751,offensive language,callneeshcakey i cant bitch
2752,offensive language,callneeshcakey bitch i know stfu 128514
2753,other,callneeshcakey no  a pop wop 128514
2754,other,callneeshcakey pop wop and drop it tho
2755,offensive language,callneeshcakey to lay up w my bitch
2756,offensive language,callneeshcakey umm bitch hello i was not alive so i clearly dobt have it
2757,other,callneeshcakey we in this bitch finna get crunk eyebrows on double papp 128165128165
2758,offensive language,cam_coles you dont know what i know name somebody colder you monkey faced immigrant
2759,hate speech,campos_uli is a fag hesgay
2760,offensive language,candielissa twitrless_kb elissareillys helenkimfitz76 elissa is such a fake cunt
2761,other,capitolevan thats where i saw the leprechaun he told me to burn things
2762,offensive language,capodaasshole alejandro_bihhh all hoes singing it too
2763,offensive language,capodaasshole alejandro_bihhh damn that hoe just came out but look at how many hoes said his shit jamming on my shit
2764,offensive language,capodaasshole alejandro_bihhh lmaooo i wanted them hoes she was suppose to hold em
2765,offensive language,capodaasshole alejandro_bihhh lmaooo niggas aint but hoes is i think im winning
2766,offensive language,capodaasshole alejandro_bihhh lmaoooo beiber get these hoes wet big bro im tryna tell you
2767,offensive language,capodaasshole alejandro_bihhh me either but if the bitch like put on that beyonc233 nigga aint gone hesitate
2768,offensive language,capodaasshole alejandro_bihhh whatever turn them hoes on zro aint gone get the bitch wet
2769,offensive language,capodaasshole i fuck with takeoff nigga get on the bitch and just snap
2770,offensive language,capodaasshole lol that hoe for 5yr old
2771,offensive language,capodaasshole naw where can i see that hoe at
2772,offensive language,capodaasshole wiz had a warrant like a bitch
2773,offensive language,capodaasshole yea he coming back him big rod doing something for that hoe
2774,offensive language,captelliott nfn you bitch to much
2775,offensive language,carelessone92 im not hollywood at all my nig u brought me to twitter n bounced
2776,offensive language,carelessone92 a young nigga turned into mr catchmeifyoucanim in da field my nig wedaopps fukemweball
2777,offensive language,carelessone92 he a real nigga tho that bitch know her place
2778,offensive language,carelessone92 weeknd dont save hoes b idunno bout drake
2779,offensive language,carelessone92 weeknd make muzik for the hoes b im tryna meet these women he be talkin bout
2780,hate speech,carelessone92 you styl gotta get dem tweets off my nig
2781,offensive language,carlafinch what can i say im a stubborn son of a bitch
2782,other,carlavanderwaal jaymaroley amp als je over syrie tweet volg paisangirl maar zij komt er vandaan amp zal je precies uitleggen hoe of wat
2783,offensive language,caroline_poe bitch im 17 and i didnt follow you hahaha
2784,offensive language,caroline_poe haha i dont remember following you but ok get your pannies out of of bunch cunt
2785,other,carxlito ps3 and case is still in the trash can idgaf anymore
2786,offensive language,cashhaddict damn i wanted to buy that bitch that shit was tough
2787,offensive language,cassiusclay_232 i know bro nigga seen a 71 african playing guard and was handling the hoe
2788,offensive language,cassiusclay_232 lebron brought the bitch down to his knees chill
2789,offensive language,cassiusclay_232 who all in that hoe
2790,other,catholicmomva neal_dewing that would cripple our military 
2791,offensive language,caymarieee bitch
2792,offensive language,caymarieee bitch im not coming no more you said your making plans 
2793,offensive language,caymarieee bitch im talm bout at like 10 9995128514
2794,offensive language,caymarieee bitch ion got no attitude 9995128514128557 sorry hoe im shaded rn
2795,offensive language,caymarieee bitch you not either bye 128514
2796,offensive language,caymarieee bitch you still subtweets but not replying though 128514128557128524
2797,offensive language,caymarieee oh bitch but you couldnt answer mine when i needed a paccage delivered to your house  so fucc off 128514128557
2798,offensive language,caymarieee omg bitch go to sleep it was just a coincidence huh  9995128514
2799,other,cay_jen i didnt think you knew of a bird that couldnt be tamed cajuncharm
2800,offensive language,cdashray shes wearing the same shi what a bitch
2801,other,"ceallaighaine oh no sorry hun that sucks hope you heal fast 128533
dancerproblems"
2802,offensive language,ceencrumpets self low down black bitch
2803,offensive language,ceeross negro pleasei got a job now lmao
2804,offensive language,ceeross shoulda told her yeah if i can take you home for pussy lol
2805,offensive language,cee_murda94 bitch bye you cant get it
2806,offensive language,cee_murda94 bitch is you drunk or nah
2807,offensive language,cee_murda94 its almost ya fucking bihday so act right niglet
2808,other,cee_murda94 no its yellow fin its in edgewater
2809,other,cee_murda94 yellow fin
2810,offensive language,ceelos_ho3 fvtboy jaimescudi_ angelsoswavey_ would i be a bitch if i said yea but never told you where i stay at
2811,other,cellnbuu ewwww her nips are def more perfect than that
2812,offensive language,cenasux43 you thebrianmo brought it up first with the allusion that shes a hoe chelsea_elisa robebarber64
2813,offensive language,cesar_k_garcia text me niggah
2814,offensive language,ch4bricktamland ch4brianfantana yes because i too want to be fat and have a fat bitch wife
2815,other,chaldeancutie really rileyaintshit killsheredon childishcudl are my nudes trash
2816,hate speech,chalecarlo5 fuck outta here and go put some more trash ass ink on your faggot ass self pussy
2817,hate speech,chalecarlo5 stay talking defending your fuckboy ass boyfriend or what go suck him off while youre at it faggot
2818,other,chancellor_iv naw bryan said it was trash hotel so were staying somewhere else
2819,hate speech,chandailbailey steezeyflow hunturpls you need to accept the fact that youre both hipster faggots
2820,offensive language,chandailbailey way to delete your tweets you stanky bitch
2821,offensive language,channnteeel pussy
2822,hate speech,charleeredz13 your gay stfu dumb monkey
2823,other,charlesbwaffle oh i am she cool though might off her a brownie lol
2824,offensive language,charlesbwaffle these bitches need guidance
2825,other,charlie4927 stacydmomof5 revkahjc cantucimblonde kacado pattism74 hi charlie
2826,other,charlie4927 hi charlie have a great day
2827,other,"charliedaniels come on charlie 
our government was just trying to protect the dese tooise 
atleast thats what barack obama says"
2828,offensive language,charlseykay homeee fag
2829,offensive language,chasebasford justinbieber i was 200 bitch
2830,hate speech,chasebasford chase you god damn faggot 128514128557128514128557
2831,offensive language,chasemanhatttan you become retarded
2832,hate speech,checha__ be gone my nigguh
2833,other,checkmylingo_ kingpin_terror ima get this so every time i throw trash away its where it really belongs httptcodrgbekvzun
2834,hate speech,cheesus85 greyyygoose faaaaggggottttt speaking with the blonde hair and confused youre a hypocrite cuz youre a faggot
2835,offensive language,chefboyrnach vegeta a super hoe then but he did snack goni up something fierce during buu saga wow
2836,offensive language,cheyennedoan cause hes a faggot
2837,offensive language,chicago_rose1 dunleavy my cracker ass honkie
2838,other,chickencoleman if mccoy wasnt trash thats a td
2839,offensive language,chiefkeef fucc droppin songs when yu gon drop a mixtape nicca
2840,offensive language,chillindillan71 damn thot i blocked ur fuzzy butt have now 128541 virleehol lancesilver1 christiec733 waynebogda 1_conservative9
2841,other,chink_19 chink thats better then having the rug rats running around yah crib girl enjoy life lol
2842,hate speech,chink_19 shut up chink
2843,offensive language,chokmah_makob ok you billy goat hair hillbilly
2844,offensive language,chokmah_makob you said good bye dumb bitch snd i said okwhat is it with you white devilsi have nothing for you vampire lover of blood
2845,offensive language,chrisheben you motherfuckin bullshit slingin son of a whore you disgraced all vets with ur crap now go off to pussy land where u belong
2846,offensive language,chrismcdowell_ dont be a bitch
2847,offensive language,chrismcdowell_ pussy ass nigga
2848,offensive language,chrispowellswag _cblaze dswizzle3 dawson and nicky hickman delete the fake account and and stop being bitches
2849,offensive language,"chrisprobst11 thorsyndirgard peta 
right in the pussy"
2850,other,"chrissfmori 
gun sales have skyrocketed gun crime has fallen sharply
any claim to the contrary is using fuzzy math"
2851,other,christrondsen im5band askim5 would you rather drink squirrel pee or johnny depps wig in charlie and the chocolate factory
2852,hate speech,chris_anzueto josh_mackey15 you call someone a faggot and then say to kill themselves you are a pathetic human being a fucking disgrace
2853,hate speech,christian_esem you dont know what your talking about retarded faggot
2854,offensive language,christymack fugly bitch john will dump ur ratchet ass
2855,offensive language,christymack ugly flat chested prude ass white bitch
2856,offensive language,chrisworldpeace so i guess that makes us blacks double niggers huh
2857,offensive language,chykalet naw u just retarded kinfolk lol
2858,offensive language,cinwicked did you just call my sweet baboo a ho
2859,offensive language,ciscoallday and btw dont ever bring up past hoes wit yo ol lady i took that l in hs tryna be semi honest smh
2860,offensive language,ciscoallday why she a hoe we know about 5 dudes that hit kim 5 these hoes out here doing that in a week
2861,offensive language,citygirl_moe  remember when we played plaquemine amp they kept calling our whole team gay amp lydia said ill turn all you hoes out fwm 128553128557
2862,other,claudialena8 she wasnt saying she did but yes me and kannon have both been in the ghetto and know what its like so u look dumb
2863,offensive language,clicquotsuave i would dead upper cut that bitch
2864,offensive language,clicquotsuave maas mermaid and sharkette pussy
2865,offensive language,clicquotsuave my nigga what her pussy smell like
2866,other,clicquotsuave the new nip dropped today rii
2867,offensive language,clutchaction cmon pussy
2868,hate speech,cody_smith64 true i miss yall man yall are my brothers is mikey staing and what about the chink lmfao
2869,other,cogitoergobibo penske runs the 22 in nascar its yellow theres a sponsor already there wouldmakealottasense
2870,other,cokamoschiach_ his defense is trash and hes been rocked by jesus soto karass and diego chaves
2871,offensive language,cokefuckedyou im in this bitch on some insomnia shit been in bed since midnight
2872,other,colemcdowell2 waco is ghetto hahaha wait til we go pick up nat in austin tomorrow
2873,offensive language,colemcdowell2 someone sent this to me months ago bitch
2874,offensive language,coley_cee campaign_papi they_callmeshay lmaooo coley just whammmmed him add this to it swervee bitch
2875,offensive language,coley_cee _xpriceless_lmaoo bitch dat was a low blow
2876,offensive language,coley_cee bitch dats yo sahara dese ass
2877,offensive language,coley_cee bitch do i look white to u
2878,offensive language,coley_cee bitch kill yo self
2879,offensive language,coley_cee bitch stop takin my shit ooo i hate u u dumb bitch
2880,offensive language,coley_cee bitch watch tf out u on moose meat now
2881,offensive language,coley_cee didnt i just say i thought u told me to delete them so i deleted them bitch
2882,offensive language,coley_cee fuck u u dumb ass bitch hoe
2883,offensive language,coley_cee lol bitch u forcin it have a glass of water bitch u a lil thirsty for the puss thang
2884,offensive language,coley_cee my bad bitch ayeee httptcogrhtdie9dz
2885,offensive language,coley_cee yes bitch i do realize dat
2886,offensive language,collinbrennan damn son maybe he didnt know it was ya piece he was just tryna get some pussy breh
2887,offensive language,commongaytweets nigga byeeeee lmfao ill be dammed if a fag stole my girl
2888,other,complexmag i didnt know whitetears were blue and yellow lessonoftheday
2889,offensive language,"conmanbo lastgreatstand

and a major league bitch too"
2890,other,conanobrien dat is one ugly animal but da monkey is adorable
2891,offensive language,conrad_mlg im goin now so be expecting to get slept faggot
2892,offensive language,coolstoryisaac hahaha thanks bitch 128514
2893,offensive language,coolstoryisaac thisty hoe
2894,offensive language,coosie11 bitch my phones gonna die in serious i got hot pockets
2895,offensive language,coreyroyalty_ hoes
2896,offensive language,corey_d_23 damn bro ps4 trash lol
2897,offensive language,coronadior just found u and fuck is my cock hard love your dripping pussy
2898,offensive language,cotton_candy9 god wrote em now think again coon
2899,offensive language,cotton_candy9 hell idk who did but that pussy better be golden
2900,offensive language,cotton_candy9 lmaoooo aye people person so you know lil rico got hoes hahaha
2901,offensive language,countryredbelle i thought youd get the hint that we know youre a fake cunt and delete your fake account
2902,hate speech,crackerjhak because youre a fag
2903,offensive language,crackerboyy these hoes really out here
2904,offensive language,creolebabybritt blurbette thepbg the same guy who thinks he can slang around bitch without it being offensive apparently
2905,offensive language,creolebabybritt dont make me draw you like one of my franch bitches heffa
2906,other,crewz76 i miss tupac rap offs hillbilly
2907,offensive language,crowe_fashow cause of the loads of pussy you get right
2908,other,cruzanchoklate look at you with yellow fever
2909,offensive language,cryystalina cuz people at work are bitches they shit talkers and yeah dude i need a girls night out ___
2910,offensive language,cryystalina haha yes niggah but yesterday night idk man it hit me at night like around 2 in the morning didnt go to sleep till like 4
2911,offensive language,cssalazar15 see bro pussy changes you 128514128514128557128527128527
2912,hate speech,cssalazar15 wetback 128513128514128514128514128514128557
2913,offensive language,cssalazar15 yeah bitch hit me up when you get friend zoned brody 128076128175128175
2914,offensive language,cssalazar15 yeah right pussy 
2915,offensive language,cuauhtli02 elchavaloko cafebabybull hes a cheating wetback
2916,offensive language,cuauhtli02 saucygyro coffeemanelliot he called the kidd a pussy or something
2917,offensive language,cuauhtli02 i couldnt find the regular one faggot
2918,offensive language,"cuckoldcock molotovhowdy 
i likes yo page i wants to make da lovin to a white girl wit a colored man watchin and pullin his weenis"
2919,offensive language,cuff_no_slut cdfu bitch you fried
2920,offensive language,cuner makes you a pussy making stupid internet threats youre a child and if it is about you which idk if it is its probably deserved
2921,offensive language,cuteciothes xo_shelbie go buy them bitches
2922,offensive language,cuteemergency shown a tiny kitten you dumb fucking cunt
2923,offensive language,"cyberobama ereievant 
plot twist he is a faggot"
2924,offensive language,d1sinceday1 my brother where tf you been at negro
2925,offensive language,devin__the_dude you ready to make this stats test our bitch
2926,other,dhsjournal i run cp in our community local cops treat ppl like trash for that i hate it makes ppl think its a waste
2927,other,directv why are you showing yankees game in arizona when you promo washington huskies game i bet dish would want my business
2928,offensive language,djsuggablack some people do shit to get shot at and then be like people hate me i dodge bullets karma is bitch
2929,offensive language,dj_workmann bigmoneyniquee mane yall niccas crazy af wiz old shit got niccas bitin his style n erhan
2930,offensive language,don_le3ggg triplecz_3g chatt niccas love doin dat brah
2931,offensive language,don_le3ggg lol hell ya dey think a nicca down der roadrunnin
2932,offensive language,dp4_6 bitch yu not safe httptcohinvxbup31
2933,offensive language,drslaten i view hackers on the same level as shoplifters  bitch slapped into the lake and held until drowning harsh but yeah hate
2934,offensive language,ds_arrogance hg_shit i bet i can pull at lease 3 bitches with them 128514128514
2935,offensive language,dswaggin6_ _justdavilaa xaviee_21 quise4144 look at ur avi u fag
2936,offensive language,d_41395 inwardforfun you a bitch dennis
2937,offensive language,d_41395 bitch dont b a hypocrite
2938,offensive language,d_41395 cuz i was gunna smoke u out today u a bitch tho
2939,offensive language,d_mrhoopa23 see thats all gill and green bitch ass they didnt help me get my schools either yall still in the tournament
2940,offensive language,d_palomino52 theonemiss_luu you my niggah though daniel lol
2941,offensive language,d_palomino52 you a poop  see im going all ghetto talk wtf
2942,offensive language,dadamnbone 128514128514 im finna dm you the pic bruh these hoes funny
2943,offensive language,dajetlyfe my nicca
2944,offensive language,dajetlyfe yall niccas spark up
2945,other,darealalexinla buckm00se he wasnt training gook boy doe
2946,hate speech,darealalexinla woody_afc rodriguez5_ the nig is fun to watch got to admit ebola boy can speak broken spanish too lol
2947,offensive language,daa_boy_rell sluttyboy_kush keem_escobar you a bitch too
2948,offensive language,dallyjackson im here now hoe
2949,offensive language,dalton_ryann parkatie blakeanderson21 i guess that dumb bitch but we all need to drink some time my place an fuck someone up haha
2950,offensive language,dalton_ryann laying in bed bout to pass out 630 is gonna be a bitch
2951,offensive language,damianhuffaker haha just kiddin but ya we should and get that fag taylerhatesyou to come and well go fishin or some shit
2952,other,damianhuffaker youre from a trash can
2953,offensive language,damiergenesis pulled up in that bulbasuar you know im bout to make yo girl pussy sore
2954,offensive language,damonethedon bitch i got some bloods dat hang in la
2955,offensive language,damontda natemurdoch jackdatow2335 mkpest002 oandapests fuck off lil bitch prolly gotta lil dick
2956,offensive language,danlukas12 gotta keep your bitch in check
2957,other,danwolken its idiotic opinions like this that make polls less than trash polls werent a problem when people with integrity were voting
2958,hate speech,dangitstiff you look like fucking shrek bitch
2959,offensive language,danicim choke on bread bitch
2960,offensive language,danieldavidlee xoxoshima ya girl is a slimy ass hoe get her under control and tell her to stop spraying bullshit out her mouth all day
2961,offensive language,danielm023 hell na  hes a honky brah
2962,hate speech,danielsizelove conrad_mlg get on cunt
2963,offensive language,danielsizelove pussy
2964,offensive language,daniellaparella no i wuz just making a general statement ive never called u a bitch
2965,other,dannymndz93 titan21mtzzz hes still a pogue though
2966,other,danny_cavanaghavailable online soon i didnt have enough to get it after my anathema merch its a cracker i need it can u
2967,offensive language,daretnzr i know these hoes aint right
2968,hate speech,dariendaywalt bitch shut the fuck up goddam your a slut bitch whore nigga
2969,hate speech,darienbaby_xoxo jk id fuck a dog before i fuck you fish pussy
2970,offensive language,darienbaby_xoxo ya but you cant because its a real account dumb bitch i go to wams fucking bitch
2971,offensive language,darkliquanigga_ nigga grow some balls and concentrate pussy
2972,other,darknight420 its showing fairy blocked me hajihuntingpat paulsmitheringa joedouglas1 jewjitsugrl blackorchidm16 taxman206
2973,other,dahmaverick7 xcntrik religulous chrispyosh rather than believe that there was a man who was the very definition of good u mock it
2974,offensive language,dah_maxwell dude i was pissed but then looking at it i fucking died at least im the most yoked ape128517128514
2975,offensive language,dah_snuff id sell anything if people are willing to buy it how highly do prostitutes think of their pussy to sell that
2976,hate speech,datboyrayt because if you suppo lesbians you have to suppo faggots theres no difference
2977,offensive language,datboyrayt bitch ass nigga rico 128530
2978,offensive language,daveswerve awe boy your shi tight than a bitch in that avi polo man turnt into a wrestler fat ass lil boy
2979,offensive language,daveswerve boy look like a slave on that hoe
2980,offensive language,daveswerve lmaoooo middle school knocking down all the pussy with the earrings on my shi and no french toast
2981,offensive language,davethegaybaby no problem remembering all those quirks can be a real bitch
2982,other,dave_the_wavee the giants are trashtheir time is over
2983,offensive language,davethebrave1 come over hoe
2984,offensive language,davethebrave1 perfect smoking weather haha bro i aint even in my hood yet and i already got hoes trying to say was up from other towns
2985,hate speech,davethebrave1 that hoe on some other shit bro  and 100x better rn that a nigga high
2986,other,david_h_esq well diy bird could be just a middle finger since its the phallic giving the bird not necessarily a wobblewibbler
2987,offensive language,david_hunninck all bitches eh hahah
2988,offensive language,deadjake i just cant stand how people get all fucking amped about it especially whiny bitches that even get scared at it
2989,other,dearionbasedgod kendrick is not better than papoose or drake
2990,offensive language,dearionbasedgod nigga fuck you some plano schools go hard then a bitch way better than richardson
2991,other,dejloaf mixtape sell sole got some bangers
2992,offensive language,debsflpx i was lucky to be sensible and ive never had a fag or a drug im pleased about that statistic yes i have a beer but thats all
2993,other,decimate_ix cant even spell right you have the brain of an ape
2994,offensive language,decodnlyfe lupefiasco larellj another black man what does that have to do with anything once a monkey always a monkey chicago idiot
2995,offensive language,dedicated_03 idk  i gotta think about it cause them bitches small as shit
2996,offensive language,dedicated_03 that ugly ass picture and thanks bitch
2997,offensive language,deeharris__ she might be the one dont be a bitch
2998,offensive language,deejay138 fuckwatyuhherrd i couldnt care less about these bitches
2999,offensive language,deemayweather the fck dem bitches always got sum shit wit them
3000,offensive language,deeray_fresh  pussy amp purp128514
3001,offensive language,deeiiggee hey bitch if your gonna talk shit tag me and quit being such a bitch how did i fuck up the car cause it wont hold air dumbass
3002,hate speech,deeznutsdoe id hate feeling like a faggot too punk ass hoe
3003,hate speech,deeznutsdoe how about you wash my butthole out with your tongue you little faggot
3004,offensive language,deeznutsdoe shut your mouth you little fuckin bitch
3005,offensive language,deeznutsdoe you diy little bitch
3006,hate speech,defendwallst whatever fuck all those assholes theyre niggers they all look alike to me
3007,hate speech,"defendwallst those little isis faggots usually have bags over their heads anyway 
makes bullet placement interesting thru a scope"
3008,offensive language,definemeee lol tell dat white bitch i said hey
3009,offensive language,deliaparedez rikki_lovee gabrielaangela4 stephyrae7 theonemiss_luu ramona_pilar im coming bitches
3010,offensive language,dem_lips_tho u knw me homie show the bitches no love
3011,other,derekisnormal  crappyfactsare mcrib buns contain a chemical azodicarbonamide which is also used to make yoga mats amp soles of shoes
3012,hate speech,derek_kirchner7 tori_mills02 fags128567128567
3013,offensive language,derringereagle ur moms pussy died a slow death so well have good company virgin
3014,hate speech,destrothenoble nekolin purple amp pinkfor the faggots who want to be protectedby the police instead of bearing arms if need be
3015,offensive language,detroitche bitches be like it means something to me
3016,offensive language,detroitplayer prettytreazure gotta be atleast 510 to call me a bitch lol
3017,offensive language,devilelyie fag
3018,hate speech,devilfzyq devilelyie tehdevilclan shut up fag
3019,other,devilgrimz ironic that hes a trashcan because he holds trash everytime you two cuddle burn
3020,offensive language,dezzzybo lol that nigga a real retard
3021,offensive language,dgkadriann shes a bad bitch
3022,offensive language,dickdankstardly did you smile like a retard when you were a kid it took me till like 5th grade before i learned how to naturally smile
3023,offensive language,dietcarmel jlewyville 128514128514128514 idgaf man fuck them hoes  they nice to look at but they aint for me
3024,other,dietrich1892 ill show up and chug a beer or 8
3025,offensive language,diggyrozay she the only bitch that stayed loyal 128554 she a keeper bro
3026,offensive language,diggztblb  bitch what httptcoocsudvn5hy
3027,offensive language,dignifiedpurity lmaooo  black fag why did i misread that im blocking you
3028,offensive language,digo13nieto thanks little fag 128536
3029,offensive language,diishaidiamond lmao yesterday  them hoes was cute af lol
3030,offensive language,dimelouxaoh keeping these hoes happy
3031,offensive language,dimitricrossin bitch ass
3032,other,dinolich dont yell at me i love both of the evolutionary lines claudiavice despises the trash buddies
3033,offensive language,dionprimo the soul has depaed from the traintheres no more soul in musicjust hunger for bitchesmoney and fame
3034,offensive language,dirkalisic balkan_made dude quit being a hyposhitical bitch you ran downstairs cryingbegging me not to tell anyone
3035,offensive language,dirtyydan lmaoo my phone autocorrect like a bitch
3036,offensive language,diyeaffiliate he loves juggling it all around it he loves the fast life im sure hes already grinded on amcon hoes as well
3037,other,divamonroe2uhoe cheefpolo hoe hoe hoe merry christmas
3038,offensive language,dividendmaster obama is a bitch his speech was pure politics for mid terms only way we destroy isis is with troops on the ground
3039,offensive language,dizzybala jameswinfield hey now dont diss my basketball hoe
3040,offensive language,dizzybala jmattear awww dis sellout nigguh still talking
3041,other,dizzybala god awful and that dude is dorian  eggplant black
3042,offensive language,dizzybala man both them get around a lot bunch of hoes
3043,offensive language,dizzybala whoa calling me a cunt
3044,hate speech,djchubbeswagg this like a retarded wutang clan
3045,offensive language,djlouis12 at my club ho 
3046,offensive language,doitlikejaye_  yasss bitch yassss you deserve it drake voice 128514128514999665039
3047,other,doemostdope mattrbennett209 johnniegoings ha booner has that twitter boone_boone5356 ha
3048,hate speech,dolangang beans u beaner
3049,hate speech,dolangang you wouldnt know fag
3050,other,"dolfyadolf 
yall gots betta machinery fo dat hanger be ghetto"
3051,offensive language,domizdope lmao ive always wanted to skibust my ass or not im innat hoe fit and all
3052,offensive language,domworldpeace oh nab def not that easy you may not know nor believe this but im legendary for curving pussy lol guilty pleasure
3053,other,donlemoncnn danabashcnn u both sorry to give racist sentedcruz a platform w his trash language dana ur intvw was below kindergaen level
3054,hate speech,donnerkay surlyrevenant an enraged 64 290 lb mike brown lethal weapon on legshis hatred 4 the police amp whitey added fuel 2 his arsenal
3055,offensive language,doop_3 lol shid who got one boy my ass lonely as a bitch you cuffed up aint ya
3056,offensive language,dopeboy_pollo 128514 wassup pussy
3057,offensive language,dopekorean lmfao putting on for twitter i see fat bitch
3058,offensive language,doubleaiv just watch bitch nigga u gonna want the whole team dead
3059,offensive language,dougbenson hey you bitch you should get the lucasbros on your show theyd be perfect for it im kidding about the bitch pa
3060,offensive language,doughboyfreco hahahhaha he had mad bitches 128514128514128514128514
3061,offensive language,doughey06 my apologies oh wait its my fucking bihday bitch 128521
3062,offensive language,dounealdy what are you doing tonight pussy
3063,offensive language,"drmalvo 
i likes it back dare its free fo me cause whitey pay da fee"
3064,offensive language,"drmalvo _rotten__ 
who is da we whitey"
3065,offensive language,drake thank you for the lyrics these bitches so gullible an sleep on your music they just be like aw u so sweet let me suck ur dick
3066,offensive language,dranumaya wrong maybe you been dealing with pussies but i dont put up with that crap if i f up telling me i f up keep it real
3067,offensive language,dre_day200 bitch
3068,offensive language,dre_day200 nig nog
3069,offensive language,dre_thinks lol lil bitch
3070,offensive language,dre_thinks that damn coach aint never called back bitch ass
3071,offensive language,dreadheadxx bitch hallon
3072,offensive language,drewhelms21 i know right so much retard
3073,hate speech,drfreezeburnn daithidenogla i just learned how many retards you can find when you search trending topics
3074,hate speech,drfreezeburnn thats not bias its an objective fact that philly fans are cunts
3075,offensive language,drivemy_lexis yasssss bitch yasssss 128525
3076,offensive language,druggzz_ its gonna bring it down though unless its turning into a welt already like a bubble wit pussy gotta pop it an itll be gone
3077,offensive language,drunkatchurch mzyummydread slide up on a bad bitchdat bitch look good
3078,other,dswizzle3 dswizzle boy u look like big bird off of sesame street
3079,offensive language,dswizzle3 bitch i dont even look like that keep talking and we going to fight
3080,offensive language,dswizzle3 bitch im real nigga the fuck u mean weak ass nigga i do me i dont pretend to be someone im not so u can shut that shit up fuk boy
3081,offensive language,dswizzle3 bitch your unknown u dont have a mixtape and you damn sure cant rap u couldnt rap if your life depend on it
3082,offensive language,dswizzle3 naw u keep it 100 fake get yo lame ass on somwhere wigga hell no get on somwhere
3083,offensive language,dswizzle3 oh hell no u have no swag whats so ever not even a little bit with dem cheap ass pugs and why so have a rag on bitch u not black
3084,offensive language,dswizzle3 yea thats what i thought pussy boy u r a fucking thot
3085,offensive language,duckin_fope thats a win right there any nigga who doesnt paake in that is a faggot even if they dont smoke
3086,offensive language,dudewithahighkd jeffreyhaas juddnation she sucksbitch cant even pretend dance
3087,offensive language,dustinhooper225 should be lol lil bitch
3088,offensive language,dutchbrosplease youre welcome i miss you too nig nog
3089,other,dylankwinnn should be going to free birds anyways
3090,other,easposfifa next update would be amazin if two celebrations were added 1 shi off  well take the yellow and 2 the rko
3091,offensive language,egp_guamo sonicboombrad im assuming it would look something like a bitch slap and a dickpunch
3092,offensive language,ejthr33 you do got alla da hoes
3093,offensive language,evby_hates_ash that bitch wants everybody out though thats the same shit she did to me at one point
3094,offensive language,ezadick dont fail bitch
3095,offensive language,eatmytweetzz lilbuttshar that bitch hit the chick when she wont looking that shit weak af
3096,offensive language,eatmytweetzz huh i been with verizon for 4 years bitch
3097,offensive language,eatmytweetzz text me we dont noisy hoes watching
3098,offensive language,eaglesandheat bpfillherup soleuniv nigga you done bumped yo head li nings fire but kobe 9 elite golds are trash httptconaadectqak
3099,other,eakaerick i wouldnt share a wave with those trash cans
3100,offensive language,eatmytattoos that was real nicca shit tho lol
3101,offensive language,eba_sandman you mean bitch ass pussy
3102,offensive language,ecliptik zfearless prihncess ssickstory mine pussy
3103,offensive language,eddie_hayden1 lol yeah bro good choice but bitches do love foreign whips so its a personal decision
3104,offensive language,eddie_sativa87 pussy
3105,offensive language,edgarguillenjr imthatsubieguy blakeanderson21 joshhandsomee87 you aint 6 feet under its not over pussy
3106,offensive language,edgarguillenjr jo_clark6 blakeanderson21 your a bitch if you hit a girl
3107,offensive language,edgarguillenjr jo_clark6 dalton_ryann dault24 blakeanderson21 justinmiculka01 ktit_418 aaronbaxter9 you a bitch edgar
3108,offensive language,edgarguillenjr your a punk pussy ass bitch dude you dont have the balls to fight all you wanna do is wanna hit girls your a fuckin bitch
3109,other,ehh_donttouchme kouj3000 bria_leeandrea thats ghetto
3110,offensive language,eljefedejefes4c damn bitches on a niggas mind haha
3111,other,el_grillo1 off to the east of your current location on an eastfacing slope dry side of a dry place
3112,offensive language,elaineeespinoza youre bitch
